,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_4,PAY_5,PAY_6,Previous_payments,Target
42,10000.0,1,2,2,22,0,0,0,0,0,7227.0,0
43,140000.0,2,2,1,37,0,0,0,0,0,20000.0,0
44,40000.0,2,1,2,30,0,0,2,0,0,13000.0,0
45,210000.0,1,1,2,29,-2,-2,-2,-2,-2,0.0,1
46,20000.0,2,1,2,22,0,0,-1,0,0,20075.0,1
47,150000.0,2,4,2,46,0,0,0,0,-2,2183.0,1
48,380000.0,1,2,2,32,-1,-1,-1,-1,-1,93332.0,0
49,20000.0,1,1,2,24,0,0,0,0,0,6246.0,0
50,70000.0,1,3,2,42,1,2,2,2,0,8100.0,1
51,100000.0,2,3,3,43,0,0,0,0,0,9606.0,0
52,310000.0,2,2,1,49,-2,-2,-2,-2,-2,30668.0,0
53,180000.0,2,1,2,25,1,2,0,0,0,10246.0,0
54,150000.0,2,1,2,29,2,0,0,0,0,12867.0,0
55,500000.0,2,1,1,45,-2,-2,-2,-2,-2,6483.0,0
56,180000.0,2,3,1,34,0,0,-1,-1,-1,29179.0,0
57,180000.0,2,2,1,34,0,0,0,0,0,34062.0,0
58,200000.0,2,1,2,34,-1,3,2,2,2,1900.0,0
59,400000.0,2,2,1,29,0,0,0,0,0,109029.0,0
60,500000.0,2,3,1,28,0,0,0,0,0,8816.0,1
61,70000.0,1,2,1,39,0,0,0,0,-1,12120.0,0
62,50000.0,1,1,2,29,2,2,2,2,2,6125.0,1
63,50000.0,2,2,1,46,0,0,-2,-2,-2,1000.0,1
64,130000.0,2,2,1,51,-1,-1,-2,-1,-1,2353.0,0
65,200000.0,1,1,1,57,-2,-2,-1,2,2,9522.0,1
66,10000.0,1,2,1,56,2,2,0,0,0,3010.0,1
67,210000.0,2,1,2,30,2,-1,-1,-1,-1,9198.0,0
68,130000.0,2,3,2,29,1,-2,-1,2,-1,41379.0,0
69,20000.0,1,4,2,22,2,0,0,0,0,3700.0,0
70,80000.0,1,1,2,31,-1,-1,-1,-1,-1,1950.0,0
71,320000.0,1,2,2,29,2,2,2,2,2,13800.0,1
72,200000.0,2,2,1,32,-1,-1,-1,2,-1,19512.0,0
73,290000.0,2,1,2,37,1,-2,-1,-1,-1,5514.0,0
74,340000.0,1,1,2,32,-1,-1,-1,-1,-1,141997.0,0
75,20000.0,1,2,2,24,0,0,0,0,0,5590.0,0
76,50000.0,1,3,2,25,-1,0,0,0,0,6358.0,0
77,300000.0,2,1,1,45,-1,-1,-1,-1,-1,1746.0,0
78,30000.0,2,2,2,22,0,0,0,0,0,8411.0,1
79,240000.0,2,2,2,44,1,-2,-2,-2,-2,0.0,1
80,470000.0,2,3,3,33,0,0,0,0,0,21926.0,0
81,360000.0,2,1,2,26,0,0,0,0,-1,161355.0,0
82,60000.0,1,3,2,30,0,0,0,0,0,5345.0,1
83,400000.0,2,2,1,44,0,0,0,0,0,22753.0,0
84,50000.0,2,3,2,49,0,0,0,0,0,6052.0,0
85,160000.0,1,2,2,33,0,0,0,0,0,101747.0,0
86,360000.0,2,1,1,45,-1,-1,0,-1,-1,2340.0,1
87,160000.0,2,2,2,32,0,0,0,0,-1,8216.0,0
88,130000.0,2,1,1,35,0,0,-1,-1,-1,56705.0,0
89,20000.0,1,3,2,44,2,2,0,0,2,6151.0,0
90,200000.0,1,1,1,53,2,2,2,2,2,32800.0,1
91,280000.0,2,1,2,39,-1,-1,0,0,-2,3968.0,0
92,100000.0,2,1,2,27,-2,-2,-2,-2,-2,7555.0,0
93,160000.0,2,2,1,37,-1,-1,-1,-1,-2,11018.0,0
94,60000.0,2,2,2,23,0,0,0,0,0,6261.0,0
95,90000.0,1,2,2,35,0,0,0,0,0,11756.0,0
96,360000.0,1,1,1,43,-1,-1,-1,-1,0,120613.0,0
97,150000.0,1,1,2,27,0,0,0,0,0,23841.0,0
98,50000.0,2,3,1,22,0,0,0,0,0,3783.0,0
99,20000.0,1,2,1,38,0,0,0,0,-1,5685.0,1
100,140000.0,1,1,2,32,-2,-2,-2,-2,-2,13007.0,0
101,380000.0,2,1,2,30,-2,-2,0,0,0,42019.0,0
102,480000.0,1,1,1,63,0,0,2,2,0,130971.0,0
103,50000.0,2,3,2,22,0,0,0,0,0,6870.0,1
104,60000.0,2,2,2,26,2,2,2,2,0,13517.0,0
105,70000.0,2,2,2,24,-1,-1,-2,-2,-1,28529.0,0
106,80000.0,2,2,1,36,-1,-1,-1,-1,-1,12794.0,0
107,350000.0,1,1,2,52,-1,-1,-1,-1,-1,15285.0,0
108,130000.0,1,2,2,38,0,0,-1,-1,-1,287768.0,0
109,360000.0,1,2,1,35,1,-2,-2,-2,-2,0.0,0
110,330000.0,2,1,1,31,0,0,0,0,0,32747.0,0
111,50000.0,1,3,1,47,0,0,0,0,0,7000.0,0
112,280000.0,1,2,1,41,2,2,2,2,3,40604.0,0
113,100000.0,2,1,2,24,0,0,0,0,0,17866.0,0
114,50000.0,1,2,2,41,0,0,0,0,0,5471.0,0
115,30000.0,1,1,2,24,-1,2,0,3,2,6312.0,1
116,240000.0,1,1,2,28,-1,-1,-1,-1,-1,7656.0,0
117,80000.0,1,2,2,26,2,0,0,0,0,7700.0,1
118,400000.0,1,2,1,34,-1,-1,-1,-1,-1,57891.0,0
119,240000.0,2,2,2,38,0,0,0,-1,-1,11073.0,0
120,50000.0,1,3,2,37,2,2,3,2,2,10235.0,1
121,450000.0,1,1,1,40,1,-2,-2,-2,-2,0.0,1
122,110000.0,2,1,1,48,1,-2,-2,-2,-2,0.0,0
123,310000.0,2,2,1,35,2,0,0,0,0,53973.0,1
124,20000.0,1,1,2,27,0,0,0,0,0,4308.0,0
125,20000.0,1,2,2,23,1,-2,-2,-2,-2,0.0,0
126,200000.0,1,3,2,52,0,0,0,0,0,22056.0,0
127,180000.0,1,1,1,36,0,0,0,0,0,14771.0,1
128,50000.0,1,2,1,51,0,0,0,0,0,6200.0,1
129,60000.0,1,3,1,55,3,2,0,0,0,7511.0,0
130,30000.0,2,1,2,23,1,-2,-2,-1,-1,31886.0,0
131,240000.0,1,1,2,41,1,-1,0,0,-1,8944.0,0
132,420000.0,1,2,1,34,0,0,0,0,0,53309.0,0
133,330000.0,1,3,1,46,0,0,0,0,0,49096.0,0
134,30000.0,2,2,2,22,0,0,0,0,0,5460.0,0
135,240000.0,1,2,1,34,0,0,2,2,2,4627.0,0
136,150000.0,1,1,2,27,0,0,0,0,0,20000.0,0
137,210000.0,2,2,1,33,0,0,0,0,0,7046.0,0
138,50000.0,2,3,1,51,-1,-1,-1,-2,-2,6180.0,1
139,50000.0,1,1,2,24,0,0,0,0,0,8960.0,0
140,240000.0,1,1,2,47,1,-2,-2,-2,-2,0.0,1
141,180000.0,1,2,2,28,-1,-1,-1,-1,-1,5580.0,0
142,50000.0,1,2,2,23,1,2,2,0,0,13500.0,0
143,170000.0,1,2,2,29,-2,-2,-2,-2,-2,65846.0,0
144,20000.0,1,1,2,29,-1,-1,-1,0,-1,23641.0,0
145,50000.0,1,1,2,28,0,0,0,0,3,7183.0,0
146,170000.0,2,2,2,27,0,0,0,0,0,3752.0,1
147,200000.0,1,1,2,34,1,2,0,0,0,87000.0,0
148,80000.0,2,2,1,23,1,2,2,0,0,4121.0,0
149,260000.0,2,1,1,60,1,-2,-1,-1,-1,24469.0,0
150,140000.0,1,2,1,32,0,0,0,2,0,16267.0,0
151,80000.0,1,1,2,25,0,0,0,0,0,63000.0,0
152,350000.0,1,1,2,41,1,-1,-1,-1,-2,4536.0,0
153,280000.0,2,2,1,56,0,0,0,0,0,133200.0,0
154,30000.0,2,3,2,26,0,0,0,0,0,8700.0,0
155,140000.0,1,1,1,34,0,0,0,0,0,35389.0,0
156,200000.0,2,1,2,37,0,0,0,0,0,22560.0,0
157,200000.0,2,3,2,30,0,0,0,0,0,37788.0,0
158,210000.0,1,3,1,45,2,3,4,5,6,65268.0,1
159,50000.0,1,3,1,57,3,2,0,0,0,3800.0,0
160,30000.0,1,1,2,41,2,2,2,2,0,8150.0,0
161,50000.0,1,2,2,27,2,-1,-1,-1,2,2640.0,0
162,290000.0,1,3,1,47,-1,-1,-1,0,-1,2376.0,0
163,250000.0,2,1,1,34,0,0,0,0,0,39850.0,0
164,60000.0,2,2,1,46,0,0,0,0,0,10000.0,0
165,110000.0,2,1,2,27,0,0,0,0,0,21100.0,0
166,370000.0,1,1,2,50,-2,-2,-2,-2,-2,61944.0,0
167,100000.0,1,2,1,27,-1,2,0,0,0,55906.0,0
168,90000.0,2,2,1,35,0,0,0,0,2,24652.0,0
169,50000.0,2,2,2,22,0,0,0,0,0,6795.0,0
170,270000.0,1,2,2,37,0,0,0,0,0,19000.0,0
171,300000.0,2,1,2,30,-1,-1,-1,-1,-1,11846.0,0
172,50000.0,2,2,2,22,-1,0,0,0,0,31149.0,0
173,50000.0,2,1,2,24,1,-2,-2,-2,-2,0.0,1
174,360000.0,1,1,2,29,1,-2,-1,-2,-2,77.0,0
175,130000.0,1,3,1,56,1,2,2,2,3,14500.0,1
176,80000.0,1,1,2,30,-2,-1,0,0,0,6004.0,0
177,50000.0,1,2,2,30,1,2,0,0,2,6500.0,0
178,20000.0,2,2,2,22,0,0,0,0,0,6913.0,0
179,80000.0,2,2,1,29,0,0,0,0,0,8800.0,0
180,240000.0,1,1,2,37,-1,-1,0,0,-1,84191.0,0
181,80000.0,2,3,2,35,0,-1,0,0,0,29000.0,0
182,500000.0,2,1,1,47,0,0,0,0,0,222550.0,0
183,60000.0,2,2,1,24,0,0,0,0,0,10837.0,1
184,20000.0,1,2,2,25,0,0,0,0,-1,5353.0,0
185,100000.0,2,2,1,38,1,2,0,2,0,5600.0,1
186,360000.0,2,1,2,32,1,-1,-1,-1,-1,199288.0,0
187,200000.0,2,3,2,47,2,2,2,2,2,35984.0,1
188,130000.0,2,2,1,34,1,-1,0,0,0,17397.0,0
189,20000.0,2,2,2,31,1,5,4,3,2,1760.0,0
190,310000.0,1,1,2,32,0,0,0,0,0,40419.0,0
191,60000.0,2,1,2,27,2,0,0,2,0,6752.0,1
192,180000.0,2,1,2,29,-1,-1,-2,-1,0,22881.0,0
193,180000.0,2,1,2,24,-1,-1,0,0,-2,38067.0,0
194,50000.0,1,2,1,36,0,0,0,-1,-1,26511.0,0
195,50000.0,2,1,2,24,1,2,2,2,2,8132.0,1
196,150000.0,2,2,1,34,-2,-2,-2,-2,-2,1616.0,0
197,20000.0,2,1,2,22,0,0,0,-1,0,24766.0,0
198,500000.0,2,1,1,34,-2,-2,-1,-1,-1,21861.0,0
199,30000.0,2,3,2,22,1,2,0,0,0,2903.0,1
200,180000.0,2,1,1,38,-2,-2,-2,-2,-2,0.0,0
201,140000.0,1,1,2,31,0,0,0,0,2,38300.0,0
202,140000.0,2,1,2,26,-1,0,-1,-1,-1,49839.0,0
203,120000.0,1,2,2,26,0,0,0,0,0,29152.0,0
204,360000.0,2,2,1,48,0,0,0,0,0,37500.0,0
205,20000.0,1,3,1,43,-1,-1,0,0,0,31538.0,0
206,100000.0,1,1,1,47,-1,-1,-1,-1,-1,5023.0,0
207,210000.0,2,2,1,41,-1,-1,-1,-1,-1,6988.0,1
208,80000.0,2,2,2,24,0,0,0,0,0,13838.0,1
209,330000.0,2,1,1,50,-1,-1,-1,-2,-2,10868.0,0
210,220000.0,1,1,2,24,0,0,-1,-1,-1,103985.0,0
211,210000.0,2,1,1,38,1,-2,0,-1,-1,11877.0,1
212,40000.0,2,3,1,43,0,0,0,0,0,8404.0,0
213,30000.0,1,2,2,39,0,0,2,0,0,8493.0,0
214,470000.0,1,2,2,27,2,2,2,0,0,55690.0,0
215,30000.0,1,3,1,42,-1,-1,-1,-1,2,2490.0,0
216,240000.0,2,2,1,36,1,-2,-2,-2,-2,0.0,1
217,80000.0,1,2,2,36,2,0,0,0,0,19500.0,0
218,110000.0,2,3,3,31,0,0,0,0,0,26954.0,0
219,310000.0,2,1,2,38,-1,-1,-1,-2,-2,4668.0,0
220,360000.0,2,1,1,40,2,2,0,0,0,32100.0,1
221,330000.0,2,3,2,45,0,0,0,0,0,73223.0,0
222,300000.0,2,2,2,35,0,0,0,0,0,74582.0,0
223,320000.0,2,2,2,33,0,0,0,0,0,41866.0,0
224,50000.0,2,3,2,37,1,3,0,0,0,34317.0,1
225,170000.0,2,1,2,28,0,0,0,0,0,48549.0,0
226,350000.0,1,3,1,44,-1,-1,-1,-1,-2,5119.0,0
227,20000.0,1,2,1,37,0,0,0,0,0,7564.0,0
228,50000.0,1,2,2,23,2,0,0,0,0,9074.0,1
229,20000.0,2,3,2,24,1,2,0,0,0,5133.0,0
230,50000.0,2,1,2,24,0,0,0,0,0,6732.0,0
231,20000.0,1,2,2,23,1,2,0,2,0,13200.0,1
232,50000.0,1,2,1,26,0,0,-1,-1,0,51938.0,0
233,190000.0,1,2,2,34,2,0,0,2,2,34887.0,1
234,60000.0,2,2,1,33,0,0,0,0,0,5935.0,0
235,80000.0,1,1,2,35,-1,-1,-1,-1,-1,36293.0,0
236,150000.0,2,2,2,27,0,0,0,0,0,12625.0,0
237,210000.0,2,1,2,31,-2,-2,-2,-1,-1,19989.0,0
238,240000.0,2,3,1,50,0,0,0,0,0,50997.0,1
239,140000.0,2,2,3,41,0,0,0,0,0,13597.0,1
240,60000.0,2,1,2,28,1,2,-2,-2,-1,2285.0,0
241,50000.0,1,1,2,39,0,0,0,0,0,12800.0,0
242,50000.0,2,2,2,27,0,0,0,0,0,7950.0,0
243,180000.0,2,1,2,32,-1,-1,2,-1,-1,5818.0,0
244,30000.0,2,1,2,40,-1,-1,2,2,2,595.0,0
245,20000.0,2,2,2,40,0,0,0,0,-2,5918.0,0
246,250000.0,2,2,1,75,0,-1,-1,-1,-1,11727.0,0
247,100000.0,2,2,2,27,0,0,0,0,0,8260.0,0
248,330000.0,1,1,2,25,0,0,0,2,0,15230.0,0
249,50000.0,1,3,1,46,0,0,0,0,0,7027.0,0
250,50000.0,2,2,2,26,1,2,0,0,0,10062.0,0
251,30000.0,1,2,2,28,0,0,0,0,0,8056.0,0
252,140000.0,2,2,2,26,0,0,0,0,0,25041.0,1
253,160000.0,2,1,2,28,0,0,0,-1,0,132311.0,0
254,400000.0,2,2,2,29,-1,0,-1,-1,-1,14825.0,0
255,50000.0,1,2,1,25,0,0,0,0,0,6842.0,0
256,140000.0,2,2,1,48,0,-1,-1,-1,-1,27501.0,0
257,160000.0,2,2,1,33,-1,-1,-1,0,-1,68661.0,0
258,100000.0,2,3,1,43,0,0,-2,-2,-2,0.0,0
259,220000.0,1,1,1,48,2,0,0,0,0,42020.0,1
260,510000.0,2,1,2,29,0,0,0,0,0,160470.0,0
261,50000.0,1,2,2,29,0,0,0,0,0,16512.0,0
262,160000.0,2,1,1,38,-1,-1,-1,2,-1,44142.0,0
263,230000.0,2,1,2,37,-2,-2,-2,-2,-2,51952.0,0
264,80000.0,2,1,2,37,-1,-1,-1,-1,-1,28957.0,0
265,150000.0,2,2,1,25,-1,-1,-1,-1,-1,1264.0,0
266,10000.0,1,3,2,23,0,0,0,0,2,3932.0,0
267,130000.0,2,3,2,49,0,0,0,0,0,9986.0,1
268,40000.0,2,1,2,48,0,0,0,0,0,9200.0,0
269,50000.0,1,2,2,27,3,2,0,0,-1,6631.0,1
270,100000.0,1,3,2,32,0,0,0,0,0,9686.0,0
271,120000.0,1,1,1,34,-1,2,0,0,0,1800.0,0
272,260000.0,2,1,2,58,1,-2,-2,-2,-2,0.0,1
273,200000.0,2,2,2,33,0,0,0,0,0,11522.0,0
274,360000.0,2,2,2,28,-2,-2,-2,-2,-2,0.0,1
275,70000.0,2,2,2,36,0,0,0,0,0,28247.0,0
276,460000.0,1,1,1,40,2,-1,-1,-1,-1,27927.0,1
277,50000.0,2,1,2,26,-1,-1,-1,-1,-1,1896.0,0
278,50000.0,1,3,1,33,0,0,0,0,0,7004.0,0
279,250000.0,2,2,1,31,0,0,0,0,0,26900.0,0
280,30000.0,2,1,2,27,0,0,0,0,-2,3164.0,0
281,270000.0,1,2,1,44,0,0,0,-1,-1,144214.0,0
282,180000.0,2,3,2,30,0,0,0,0,0,27192.0,0
283,100000.0,2,1,2,28,0,0,0,0,0,20198.0,0
284,230000.0,2,3,1,32,0,0,0,0,0,29000.0,0
285,210000.0,2,1,1,46,-1,-1,-1,-1,-1,120470.0,0
286,210000.0,1,1,2,38,2,0,0,0,0,13804.0,0
287,440000.0,2,2,1,46,0,0,0,0,0,29746.0,0
288,100000.0,2,2,2,25,2,0,0,0,0,13210.0,1
289,240000.0,2,2,1,46,0,0,0,0,0,6295.0,0
290,280000.0,1,1,2,33,-1,-1,-1,-1,-1,347739.0,1
291,50000.0,2,2,2,22,1,-2,-2,-2,-2,0.0,1
292,30000.0,1,2,1,43,3,2,2,2,2,2000.0,0
293,10000.0,1,2,2,27,0,0,0,0,0,5470.0,1
294,130000.0,1,1,2,29,1,-2,-2,-2,-2,1500.0,0
295,200000.0,1,1,2,31,0,0,0,0,0,36425.0,0
296,120000.0,2,2,1,29,-1,-1,-1,-1,-1,8715.0,0
297,210000.0,2,2,1,36,0,0,0,0,0,32709.0,0
298,280000.0,2,1,1,36,0,0,0,0,0,11718.0,0
299,300000.0,1,1,2,34,1,-2,0,-1,-1,32799.0,1
300,100000.0,1,2,2,37,0,0,0,0,0,15303.0,0
301,440000.0,2,1,2,36,-2,-2,-2,-2,-2,162000.0,0
302,50000.0,2,3,1,40,0,0,0,0,0,7606.0,0
303,20000.0,2,1,2,25,0,0,0,0,0,11500.0,1
304,200000.0,2,1,2,27,-1,-1,0,0,0,12927.0,0
305,110000.0,2,2,2,26,-2,-2,-2,-2,-2,12124.0,0
306,500000.0,2,2,1,36,-1,-1,-1,-1,-1,37052.0,0
307,300000.0,2,2,1,27,1,-1,-2,-2,-2,5215.0,0
308,30000.0,1,3,1,55,2,2,3,3,4,8900.0,1
309,60000.0,2,1,2,27,-1,-1,-1,-1,-1,47111.0,0
310,400000.0,2,2,1,38,-1,0,-1,0,-1,19153.0,0
311,180000.0,2,2,1,34,0,0,0,0,0,32000.0,0
312,20000.0,1,1,2,40,0,0,2,0,0,10600.0,0
313,200000.0,2,3,1,49,-1,2,2,0,0,16286.0,1
314,100000.0,1,1,2,27,0,0,0,0,0,4871.0,0
315,60000.0,1,2,2,23,0,0,0,0,0,8013.0,1
316,110000.0,2,2,2,36,0,0,0,0,0,13500.0,0
317,260000.0,2,3,1,53,1,-1,-2,-2,-1,2484.0,0
318,50000.0,2,3,1,46,3,2,0,0,0,7372.0,0
319,180000.0,1,2,2,29,1,-2,-2,-2,-2,0.0,0
320,110000.0,1,2,2,29,1,2,0,0,0,10354.0,1
321,340000.0,2,1,2,27,0,0,0,0,0,90147.0,0
322,50000.0,1,2,2,24,-1,0,0,0,0,11019.0,0
323,230000.0,2,2,1,28,0,0,-2,-1,-1,11750.0,1
324,360000.0,2,2,2,32,0,0,0,0,0,57000.0,0
325,210000.0,1,2,2,43,1,-2,0,0,0,52013.0,0
326,220000.0,2,2,1,41,-1,2,-1,2,-1,1925.0,1
327,60000.0,2,2,1,34,2,2,2,2,0,10111.0,1
328,340000.0,1,2,1,55,-2,-1,-2,-2,-2,164386.0,0
329,150000.0,1,1,1,40,2,2,2,2,2,25700.0,0
330,200000.0,2,2,1,37,1,-1,-1,-1,-1,51400.0,1
331,130000.0,2,2,2,40,0,0,0,0,0,7200.0,1
332,60000.0,2,1,2,28,1,2,0,0,0,30696.0,0
333,400000.0,2,2,1,43,1,-2,-2,-1,-1,79988.0,0
334,20000.0,1,1,2,27,0,0,0,0,0,5503.0,0
335,190000.0,2,1,2,28,0,0,0,0,0,36836.0,0
336,260000.0,2,1,2,30,0,0,0,0,0,44000.0,0
337,140000.0,2,2,2,31,-2,-2,-2,-2,-2,0.0,0
338,50000.0,2,2,1,31,0,0,0,0,0,10607.0,1
339,120000.0,2,1,2,34,-1,-1,-1,-1,-1,20204.0,0
340,240000.0,2,2,2,30,-2,-2,-2,-2,-2,2159.0,0
341,50000.0,1,2,2,36,0,0,0,-1,0,3390.0,0
342,200000.0,2,1,2,29,-1,2,-1,-1,2,31055.0,0
343,180000.0,1,1,1,39,0,0,0,0,-1,284903.0,0
344,180000.0,2,1,2,26,0,0,0,0,0,26710.0,0
345,160000.0,2,1,2,29,-1,-1,-1,0,0,24500.0,0
346,100000.0,2,2,2,26,-1,-1,0,0,0,13974.0,0
347,50000.0,2,2,2,29,0,0,0,0,0,13000.0,1
348,140000.0,2,2,2,31,0,0,0,0,0,34500.0,0
349,30000.0,2,2,2,26,0,0,0,0,0,6064.0,1
350,90000.0,1,1,2,26,0,0,0,0,-1,31842.0,0
351,200000.0,1,1,1,36,1,-2,-1,-2,-1,171133.0,0
352,380000.0,1,1,2,30,1,-2,-2,-2,-2,0.0,1
353,80000.0,2,2,2,43,0,0,0,0,0,12045.0,0
354,50000.0,1,3,1,58,2,2,0,0,2,6673.0,0
355,180000.0,1,2,1,45,-1,0,0,0,0,8781.0,1
356,240000.0,2,2,2,26,0,0,0,0,0,27398.0,0
357,380000.0,1,2,2,34,0,0,0,0,0,64410.0,0
358,110000.0,2,4,2,24,0,0,0,0,0,19300.0,0
359,260000.0,1,1,1,34,-1,-1,-1,-1,-1,121666.0,0
360,500000.0,2,2,2,23,4,3,0,0,0,75500.0,1
361,320000.0,2,2,2,30,0,0,0,0,0,15669.0,0
362,50000.0,1,2,2,32,4,3,0,0,0,5485.0,0
363,110000.0,1,1,1,40,1,-2,0,-1,-1,2564.0,1
364,230000.0,2,1,2,35,-2,-2,-2,-2,-2,3073.0,0
365,330000.0,2,2,1,56,1,-1,-2,-1,-1,16061.0,0
366,50000.0,2,2,1,61,0,0,0,0,0,10251.0,0
367,10000.0,1,2,2,24,-1,2,2,0,0,1650.0,0
368,300000.0,1,1,1,40,1,-2,-2,-2,-2,0.0,0
369,20000.0,2,2,1,32,3,2,0,0,0,3190.0,1
370,180000.0,1,2,1,36,2,2,-2,-2,-2,0.0,1
371,160000.0,1,1,2,30,-1,-1,-1,-1,-1,119926.0,0
372,90000.0,2,1,2,34,0,0,2,2,2,20640.0,0
373,30000.0,1,3,3,54,0,0,0,0,0,12000.0,0
374,180000.0,1,1,1,46,0,0,0,0,0,189463.0,0
375,30000.0,1,3,1,58,0,0,0,0,0,8016.0,0
376,30000.0,1,2,1,43,1,2,0,0,2,7488.0,0
377,140000.0,2,1,2,28,-1,0,-1,-1,-1,35946.0,0
378,210000.0,1,1,2,30,0,0,0,0,0,25500.0,0
379,50000.0,1,2,2,31,0,0,0,0,0,16327.0,1
380,130000.0,2,2,2,29,0,0,0,0,0,20500.0,0
381,50000.0,2,2,1,37,2,2,0,0,0,3500.0,1
382,140000.0,1,3,1,36,0,0,0,0,0,47700.0,0
383,170000.0,2,2,2,28,-1,0,2,0,0,3899.0,1
384,80000.0,1,2,2,25,0,0,0,0,-2,18103.0,0
385,410000.0,2,4,1,42,0,0,0,0,0,63800.0,0
386,80000.0,2,1,2,29,1,-1,-2,-2,-2,80000.0,0
387,80000.0,1,3,1,73,-1,0,2,2,2,23430.0,1
388,150000.0,1,2,1,43,0,0,0,0,0,36834.0,0
389,260000.0,1,1,1,30,-1,-1,0,0,-1,131815.0,1
390,350000.0,1,1,1,38,1,-2,-2,-2,-2,0.0,0
391,280000.0,2,2,1,39,1,-1,0,0,0,48684.0,1
392,310000.0,1,2,1,44,0,0,0,0,0,20078.0,0
393,140000.0,2,2,2,29,0,0,0,0,0,16500.0,0
394,360000.0,1,1,1,51,-1,-1,-2,-2,-2,25000.0,0
395,140000.0,2,1,2,27,0,0,0,0,0,43600.0,0
396,100000.0,1,1,2,38,0,0,0,0,0,5141.0,0
397,50000.0,2,2,2,22,-2,-2,-2,-2,-2,1480.0,0
398,210000.0,2,2,1,30,0,0,0,0,0,23202.0,0
399,120000.0,2,2,2,25,2,2,2,2,2,21679.0,0
400,240000.0,1,1,2,29,0,0,0,0,-1,204634.0,0
401,60000.0,2,3,3,42,0,0,0,0,0,9885.0,0
402,150000.0,1,1,2,41,-1,-1,-1,-1,2,5291.0,1
403,30000.0,1,2,1,48,0,0,0,0,0,8942.0,0
404,160000.0,2,1,2,29,2,2,2,2,2,30512.0,1
405,200000.0,1,1,1,52,-2,-2,-2,-2,-2,92473.0,0
406,120000.0,2,2,1,25,0,0,-2,-2,-2,6000.0,0
407,500000.0,1,1,1,37,1,2,0,0,0,64709.0,0
408,320000.0,2,1,2,27,0,0,0,0,0,67601.0,0
409,280000.0,1,1,2,31,0,0,0,0,0,42823.0,0
410,60000.0,2,1,2,23,1,2,2,2,2,8209.0,1
411,200000.0,2,1,1,38,-1,-1,-1,-1,-2,517.0,0
